employee_id,gender,race,hire_year
employee_1,Male,White,1959
employee_2,Male,White,1963
employee_3,Male,White,1966
employee_4,Female,Black,1969
employee_5,Female,Black,1970
employee_6,Male,White,1952
employee_7,Female,White,1951
employee_8,Male,White,1957
employee_9,Female,White,1952
employee_10,Female,White,1950
employee_11,Male,White,1965
employee_12,Female,White,1964
employee_13,Female,Black,1969
employee_14,Female,White,1955
employee_15,Female,Black,1968
employee_16,Female,Black,1966
employee_17,Male,White,1967
employee_18,Female,Black,1969
employee_19,Male,White,1952
employee_20,Male,Black,1950
